Buy Date,Sell Date,Stock Symbol,Sector,Buy Price,Sell Price,Quantity,Capital Deployed,PnL
2023-01-05,2023-01-12,RELIANCE,Energy,2400,2520,10,24000,1200
2023-01-10,2023-01-13,TCS,IT,3500,3420,-1,35000,-800
2023-01-15,2023-02-10,HDFC,Banking,1600,1720,20,32000,2400
2023-01-18,2023-01-19,INFY,IT,1500,1450,-1,15000,-500
2023-01-25,2023-03-20,WIPRO,IT,400,440,50,20000,2000
2023-02-01,2023-02-02,SBIN,Banking,550,520,-1,27500,-1500
2023-02-05,2023-02-06,BHARTIARTL,Telecom,850,830,-1,42500,-1000
2023-02-08,2023-03-15,HCLTECH,IT,1100,1210,30,33000,3300
2023-02-12,2023-02-13,BAJFINANCE,Finance,6000,5800,-1,60000,-2000
2023-02-20,2023-04-01,KOTAKBANK,Banking,1800,1980,15,27000,2700
2023-03-01,2023-03-02,HINDUNILVR,FMCG,2600,2550,-1,26000,-500
2023-03-05,2023-04-10,SUNPHARMA,Pharma,950,1040,25,23750,2250
2023-03-10,2023-03-11,DRREDDY,Pharma,4500,4350,-1,45000,-1500
2023-03-15,2023-05-01,MARUTI,Auto,8500,9200,5,42500,3500
2023-03-20,2023-03-21,TATAMOTORS,Auto,440,410,-1,22000,-1500
2023-04-01,2023-04-02,AXISBANK,Banking,850,820,-1,42500,-1500
2023-04-05,2023-06-01,ASIAN PAINTS,Consumer,3200,3480,10,32000,2800
2023-04-10,2023-04-11,NESTLEIND,FMCG,20000,19600,-1,20000,-400
2023-04-15,2023-05-20,LT,Infrastructure,2100,2310,12,25200,2520
2023-05-01,2023-05-02,POWERGRID,Energy,220,210,-1,22000,-1000
2023-05-05,2023-07-10,TITAN,Consumer,2800,3080,8,22400,2240
2023-05-10,2023-05-11,ULTRACEMCO,Infrastructure,7500,7300,-1,75000,-2000
2023-05-15,2023-06-20,ITC,FMCG,380,418,100,38000,3800
2023-06-01,2023-06-02,ONGC,Energy,160,152,-1,32000,-1600
2023-06-05,2023-08-01,CIPLA,Pharma,1050,1155,20,21000,2100
2023-06-10,2023-06-11,HDFCBANK,Banking,1650,1600,-1,82500,-2500
2023-06-15,2023-07-20,ADANIENT,Energy,2200,2420,10,22000,2200
2023-07-01,2023-07-02,VEDL,Mining,280,265,-1,28000,-1500
2023-07-05,2023-09-01,M&M,Auto,1300,1430,15,19500,1950
2023-07-10,2023-07-11,TECHM,IT,1150,1100,-1,57500,-2500
2023-07-15,2023-08-20,DIVISLAB,Pharma,3500,3850,6,21000,2100
2023-08-01,2023-08-02,COALINDIA,Energy,225,215,-1,45000,-2000
2023-08-05,2023-10-01,BAJAJFINSV,Finance,1500,1650,14,21000,2100
2023-08-10,2023-08-11,INDUSINDBK,Banking,1200,1160,-1,60000,-2000
2022-01-10,2022-01-12,TCS,IT,3600,3500,-1,36000,-1000
2022-02-05,2022-04-10,RELIANCE,Energy,2300,2530,10,23000,2300
2022-03-01,2022-03-02,INFY,IT,1600,1550,-1,32000,-1000
2022-04-15,2022-06-20,HDFC,Banking,1500,1650,20,30000,3000
2022-05-20,2022-05-21,SBIN,Banking,480,460,-1,24000,-1000
2022-06-10,2022-08-15,WIPRO,IT,410,451,50,20500,2050
